"last_name, first_name","player_id","year","p_formatted_ip","pa","hit","home_run","strikeout","walk","k_percent","bb_percent","on_base_percent","babip","p_era","p_hit_by_pitch","poorlyweak_percent","hard_hit_percent","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","n","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Wentz, Joey",666214,2024,"67.1",304,66,8,73,33,24,10.9,".340",".314","4.68","4",6.2,36.1,29.6,41.8,25.3,23.7,9.3,"1224","67.9","13","19.1"
"Jiménez, Joe",641729,2024,"68.2",277,45,2,82,23,29.6,8.3,".260",".259","2.62","4",5.4,32.7,32.9,42.9,32.1,18.5,6.5,"1089","46.2","49.6","4.2"
"Williams, Gavin",668909,2024,"76.0",332,72,7,79,32,23.8,9.6,".323",".310","4.86","3",2.8,44,24.8,40.8,26.1,26.1,6.9,"1368","63.5","31.1","5.4"
"Marsh, Alec",679525,2024,"129.0",548,123,19,123,39,22.4,7.1,".316",".293","4.53","11",4.5,40.9,23.5,38.8,26.5,25.7,9.1,"2161","50.8","39.2","10"
"Doval, Camilo",666808,2024,"59.0",271,54,5,78,39,28.8,14.4,".353",".338","4.88","2",5.9,42.8,34.3,60.5,19.1,19.1,1.3,"1116","48.9","51.1",
"Speier, Gabe",642100,2024,"23.2",104,19,2,33,14,31.7,13.5,".340",".327","5.70","2",5.5,36.4,31,41.8,30.9,18.2,9.1,"422","68","30.6","1.4"
"Peterson, David",656849,2024,"121.0",510,110,8,101,46,19.8,9,".320",".294","2.90","7",3.9,42.7,25.6,50.8,21.3,23.9,3.9,"1871","57.5","26.1","16.4"
"Irvin, Jake",663623,2024,"187.2",769,173,29,156,52,20.3,6.8,".299",".274","4.41","4",5.4,39.1,22.3,44.7,25.5,23.3,6.5,"3046","64.9","31.6","3.5"
"Spence, Mitch",687765,2024,"151.1",651,165,20,126,44,19.4,6.8,".331",".319","4.58","6",3.2,41.7,22.5,48.4,23.8,21.9,5.9,"2480","54.2","44.7","1.1"
"Moore, Matt",519043,2024,"48.1",210,39,11,41,26,19.5,12.4,".324",".220","5.03","2",6.4,35.5,26.7,31.2,30.5,22,16.3,"854","50.7","17.6","31.7"
"Puk, A.J.",640462,2024,"71.1",294,51,5,88,28,29.9,9.5,".276",".271","3.15","2",6.3,33.5,31.8,37.5,30.7,22.7,9.1,"1173","58","38","4"
"Canning, Griffin",656288,2024,"171.2",739,174,31,130,66,17.6,8.9,".334",".284","5.19","6",3.5,41.9,24.5,41.3,30,22.5,6.1,"2869","38.6","34.8","26.7"
"Sale, Chris",519242,2024,"177.2",702,141,9,225,39,32.1,5.6,".269",".315","2.38","8",5.8,31.2,31,46,24,25.8,4.2,"2815","45","40.3","14.7"
"Muller, Kyle",666205,2024,"49.1",202,48,6,36,10,17.8,5,".292",".282","4.01","1",2.6,43.2,22.7,42.6,23.2,27.7,6.5,"725","53.4","38.8","7.9"
"Holton, Tyler",663947,2024,"94.1",354,57,7,77,17,21.8,4.8,".222",".202","2.19","4",5.9,32.8,24.5,47.7,23,21.5,7.8,"1339","64.2","17","18.9"
"Estévez, Carlos",608032,2024,"55.0",212,38,5,50,12,23.6,5.7,".241",".229","2.45","1",4,42.3,25.6,32.2,32.9,27.5,7.4,"821","61.1","28.5","10.4"
"Montero, Rafael",606160,2024,"38.1",164,35,8,23,19,14,11.6,".348",".243","4.70","3",2.5,42,17.9,42.9,26.1,26.1,5,"683","69.3","7.5","23.3"
"López, Jorge",605347,2024,"53.0",216,46,6,50,18,23.1,8.3,".306",".286","2.89","2",8.2,39.7,23.1,51.4,26,15.8,6.8,"802","56.1","32","11.8"
"Adams, Austin",613534,2024,"41.1",191,38,4,53,23,27.7,12,".389",".351","3.92","13",8.8,31.4,35.3,38.2,23.5,27.5,10.8,"805","26.2","73.8",
"McFarland, T.J.",519008,2024,"56.2",235,53,4,39,17,16.6,7.2,".316",".288","3.81","4",6.9,34.9,19.2,59.4,14.3,20.6,5.7,"836","49.3","38.4","12.3"
"Spiers, Carson",686730,2024,"90.2",410,112,20,80,27,19.5,6.6,".351",".331","5.46","5",5.7,38.9,21.4,35.9,32.6,23.5,8.1,"1554","63.4","24.5","12.1"
"Junis, Jakob",596001,2024,"67.0",253,49,8,51,8,20.2,3.2,".237",".224","2.69","3",0.5,42.4,24.6,38.7,28.8,25.7,6.8,"943","46.3","45.3","8.4"
"Robertson, David",502085,2024,"72.0",297,53,5,99,28,33.3,9.4,".291",".302","3.00","5",4.3,37.8,29.5,47,26.2,22.6,4.3,"1211","64.8","33.4","1.7"
"Mazur, Adam",800049,2024,"33.2",158,40,6,22,21,13.9,13.3,".399",".318","7.49","2",0.9,38.9,18.4,32.7,27.4,29.2,10.6,"584","43.3","46.4","10.3"
"Martin, Davis",663436,2024,"50.0",220,50,5,47,23,21.4,10.5,".355",".321","4.32","5",4.1,37.9,27,46.9,26.9,17.9,8.3,"892","46","34.4","19.6"
